product,common_quantity
010010136           ,49.0
010010137           ,49.0
010010139           ,48.0
010010140           ,49.0
010010141           ,49.0
010010142           ,49.0
010010144           ,49.0
010010145           ,49.0
010010146           ,49.0
010010148           ,5.0
010010149           ,49.0
010010150           ,49.0
010010153           ,5.0
010010155           ,1.0
010010156           ,49.0
010010157           ,49.0
010010159           ,49.0
010010160           ,49.0
010010162           ,49.0
010010163           ,49.0
010010165           ,49.0
010010166           ,10.0
010010167           ,49.0
010010169           ,49.0
010010170           ,49.0
010010197           ,25.0
010010198           ,49.0
010010206           ,49.0
010010207           ,49.0
010010214           ,49.0
010010217           ,49.0
010010242           ,31.0
010010292           ,40.0
010010293           ,40.0
010010308           ,40.0
010010315           ,49.0
010010319           ,1.0
010010325           ,20.0
010010326           ,20.0
010010327           ,10.0
010010328           ,5.0
010010330           ,26.0
010010331           ,40.0
010010332           ,40.0
010800131           ,54.0
010800333           ,54.0
020010075           ,49.0
020010079           ,49.0
020010080           ,49.0
020010081           ,2.0
020010082           ,30.0
020010087           ,49.0
020010088           ,49.0
020010090           ,47.0
020010091           ,49.0
020010092           ,49.0
020010094           ,49.0
020010097           ,49.0
020010112           ,4.0
020010130           ,60.0
020010159           ,40.0
020010169           ,11.0
020010177           ,40.0
020010187           ,48.0
020010218           ,30.0
020010228           ,20.0
020010235           ,40.0
020010237           ,30.0
020010239           ,56.0
020010240           ,30.0
020010243           ,30.0
020010248           ,30.0
020010252           ,21.0
020010253           ,50.0
020010264           ,18.0
020010272           ,30.0
020010274           ,30.0
020010277           ,49.0
020010281           ,40.0
020010282           ,40.0
020010283           ,50.0
020010285           ,49.0
020010286           ,63.0
020010287           ,49.0
020010288           ,40.0
020010289           ,49.0
020010290           ,35.0
020010292           ,1.0
020130108           ,8.0
030010024           ,45.0
030010026           ,50.0
030010028           ,30.0
030010229           ,35.0
040010008           ,30.0
050010014           ,21.0
050010015           ,1.0
050010016           ,15.0
050010017           ,24.0
050010018           ,21.0
050010019           ,11.0
050010020           ,2.0
050010021           ,21.0
050010022           ,21.0
050010085           ,17.0
050010174           ,18.0
050010211           ,25.0
050010244           ,45.0
050010253           ,1.0
050010254           ,1.0
050010255           ,5.0
050010258           ,1.0
050010259           ,1.0
050010260           ,4.0
050010262           ,1.0
050010264           ,21.0
050010265           ,21.0
050010267           ,6.0
050010270           ,9.0
050010271           ,1.0
050010272           ,21.0
050010274           ,1.0
050010275           ,17.0
050010282           ,1.0
050010284           ,21.0
050010287           ,28.0
050010288           ,28.0
050010290           ,60.0
050010345           ,8.0
050010347           ,42.0
050010356           ,40.0
050010495           ,40.0
050010509           ,1.0
050010510           ,1.0
050010511           ,1.0
050010512           ,2.0
050010513           ,1.0
050010515           ,1.0
050010518           ,1.0
050010520           ,1.0
050010521           ,4.0
050010524           ,2.0
050010525           ,1.0
050010526           ,1.0
050010527           ,2.0
050010528           ,3.0
050010529           ,1.0
050010530           ,4.0
050010531           ,1.0
050010532           ,1.0
050010533           ,1.0
050010536           ,2.0
050010537           ,21.0
050010538           ,28.0
050010539           ,5.0
050010540           ,21.0
050010541           ,21.0
050010542           ,9.0
050010543           ,5.0
050010544           ,21.0
050010545           ,21.0
050010547           ,1.0
050010549           ,21.0
050010550           ,21.0
050010556           ,28.0
050010557           ,21.0
050010558           ,21.0
050010559           ,21.0
050010560           ,21.0
050010561           ,21.0
050010562           ,21.0
050010563           ,21.0
050010564           ,7.0
050010565           ,22.0
050010567           ,1.0
050010568           ,1.0
050010569           ,1.0
050010570           ,1.0
050010571           ,2.0
050010572           ,1.0
050010573           ,3.0
050010574           ,3.0
050010575           ,1.0
050010576           ,5.0
050010577           ,4.0
050010578           ,9.0
050010579           ,11.0
050010583           ,21.0
050010584           ,21.0
050010585           ,1.0
050010586           ,21.0
050010593           ,2.0
050010602           ,21.0
050010603           ,21.0
050010604           ,21.0
050010606           ,19.0
050010607           ,3.0
050010608           ,21.0
050010612           ,1.0
050010613           ,20.0
050010614           ,1.0
050010615           ,3.0
050010616           ,7.0
050010617           ,6.0
050010618           ,2.0
050010621           ,21.0
050010622           ,1.0
050010623           ,6.0
050010624           ,4.0
050010626           ,1.0
050010628           ,2.0
050010629           ,14.0
050010630           ,1.0
050010631           ,18.0
050010632           ,21.0
050010633           ,28.0
050010673           ,21.0
050010678           ,1.0
050010679           ,11.0
050010680           ,4.0
050010682           ,2.0
050010683           ,1.0
050010684           ,28.0
050010690           ,28.0
050010691           ,28.0
050010693           ,5.0
050010816           ,1.0
050010817           ,3.0
050010819           ,2.0
050010820           ,2.0
050010848           ,4.0
050010849           ,1.0
050010850           ,1.0
050010851           ,1.0
050010852           ,3.0
050010854           ,1.0
050010858           ,3.0
050010865           ,3.0
050010869           ,3.0
050010871           ,8.0
050010872           ,6.0
050010922           ,1.0
050010931           ,6.0
050010932           ,11.0
050010934           ,28.0
050010939           ,1.0
050010940           ,1.0
050011007           ,1.0
050011008           ,2.0
050011009           ,30.0
050011010           ,6.0
050011011           ,3.0
050011012           ,12.0
050011014           ,21.0
050011015           ,21.0
050011016           ,21.0
050011017           ,21.0
050011029           ,12.0
050011030           ,1.0
